Date,Price,Open,High,Low,Vol.,Change %
"Feb 24, 2014",139.57,139.57,139.57,139.57,0,0.82
"Feb 21, 2014",138.44,138.44,138.44,138.44,0,1.05
"Feb 20, 2014",137,137,137,137,0,0.46
"Feb 19, 2014",136.37,136.37,136.37,136.37,0,0.52
"Feb 18, 2014",135.67,135.67,135.67,135.67,0,-0.62
"Feb 17, 2014",136.51,136.51,136.51,136.51,0,-0.86
"Feb 14, 2014",137.7,137.7,137.7,137.7,0,-0.01
"Feb 13, 2014",137.71,137.71,137.71,137.71,0,-0.33
"Feb 12, 2014",138.17,138.17,138.17,138.17,0,0.07
"Feb 11, 2014",138.08,138.08,138.08,138.08,0,-15.61
"Feb 10, 2014",163.63,137.26,163.63,137.26,0,19.13
"Feb 07, 2014",137.35,137.35,137.35,137.35,0,-0.27
"Feb 06, 2014",137.72,137.72,137.72,137.72,0,0.73
"Feb 05, 2014",136.72,136.72,136.72,136.72,0,0.15
"Feb 04, 2014",136.51,136.51,136.51,136.51,0,1.43
"Feb 03, 2014",134.58,134.58,134.58,134.58,0,-0.06
"Jan 31, 2014",134.66,134.66,134.66,134.66,0,-3.16
"Jan 30, 2014",139.06,139.06,139.06,139.06,0,-1.56
"Jan 29, 2014",141.27,141.27,141.27,141.27,0,-1.46
"Jan 28, 2014",143.36,143.36,143.36,143.36,0,-0.72
"Jan 27, 2014",144.4,144.4,144.4,144.4,0,0
"Jan 24, 2014",144.4,144.57,144.57,144.4,0,-0.12
"Jan 23, 2014",144.57,142.73,144.57,142.73,0,1.29
"Jan 22, 2014",142.73,142.73,142.73,142.73,0,0.62
"Jan 21, 2014",141.85,141.85,141.85,141.85,0,0.52
"Jan 20, 2014",141.11,141.11,141.11,141.11,0,0.59
"Jan 17, 2014",140.28,140.28,140.28,140.28,0,-0.05
"Jan 16, 2014",140.35,140.35,140.35,140.35,0,-0.47
"Jan 15, 2014",141.01,141.01,141.01,141.01,0,0.16
